name,date,tret,toi,sig_thu
A,2007-05-13,0.0080179602309173,489654.0,
A,2007-05-20,0.0251352211263127,537356.0,
A,2007-05-27,0.0093109869646181,626486.0,
A,2007-06-03,-0.0159632007278975,601256.0,
A,2007-06-10,0.0129830917874398,614146.0,
A,2007-06-17,-0.0214605067064082,577068.0,
A,2007-06-24,-0.0118793786171182,569740.0,
A,2007-07-01,-0.0046239210850798,543076.0,
A,2007-07-08,0.0195106844224219,551840.0,
A,2007-07-15,0.028857837181045,580704.0,
A,2007-07-22,-0.0230292294065541,634612.0,
A,2007-07-29,-0.0006044122091266,646250.0,
A,2007-08-05,0.0384033867553677,701660.0,
A,2007-08-12,0.0062296721211201,700048.0,
A,2007-08-19,-0.0039637599093997,693942.0,
A,2007-08-26,0.0383740761796476,741950.0,
A,2007-09-02,0.0344921981932659,785294.0,
A,2007-09-09,0.0312251918496957,723358.0,
A,2007-09-16,0.0351552476263792,827382.0,
A,2007-09-23,0.018096182449182,840160.0,
A,2007-09-30,0.0233747260774288,866010.0,
A,2007-10-14,-0.0040447299547943,948332.0,
A,2007-10-21,0.0212613473483038,1038288.0,
A,2007-10-28,0.022923976608187,1110988.0,
A,2007-11-04,0.0002286759661558,1069790.0,
A,2007-11-11,0.0267489711934156,1087922.0,
A,2007-11-18,0.0097973725228235,1052206.0,
A,2007-11-25,-0.0248898678414094,878440.0,
A,2007-12-02,-0.0393042692568326,765412.0,
A,2007-12-09,0.0228074300493772,766312.0,
A,2007-12-16,0.0285057471264367,800854.0,
A,2007-12-23,-0.0011175681716583,726898.0,
A,2007-12-30,0.0485567240993514,670642.0,
A,2008-01-06,0.0236875800256077,718908.0,
A,2008-01-13,-0.0091723994163017,678260.0,
A,2008-01-20,-0.0212497370082053,740904.0,
A,2008-01-27,-0.0051590713671537,718088.0,
A,2008-02-03,0.0198789974070874,702692.0,
A,2008-02-10,0.0235169491525424,656340.0,
A,2008-02-17,0.0202856551438628,739310.0,
A,2008-02-24,0.0294177317914385,781952.0,
A,2008-03-02,0.0290500175900363,748466.0,
A,2008-03-09,-0.0309493935591802,771694.0,
A,2008-03-16,-0.0241691842900299,762516.0,
A,2008-03-23,-0.1030517470145951,720082.0,
A,2008-03-30,0.0303254437869824,697300.0,
A,2008-04-06,-0.0729839674563294,684550.0,
A,2008-04-13,0.0356220960247808,702962.0,
A,2008-04-20,0.0491026919242272,686072.0,
A,2008-04-27,-0.0216203373722975,652600.0,
A,2008-05-04,-0.0155415250121414,710036.0,
A,2008-05-11,0.0414405525407004,743456.0,
A,2008-05-18,0.0656087162482235,814724.0,
A,2008-05-25,-0.0017781729273171,791528.0,
A,2008-06-01,-0.0062346916054331,740604.0,
A,2008-06-08,0.0636343266860857,710054.0,
A,2008-06-15,0.04613440067411,662344.0,
A,2008-06-22,-0.0034232782923881,670106.0,
A,2008-06-29,0.0343503738128916,645468.0,
A,2008-07-06,0.0029302598163705,608642.0,
A,2008-07-13,-0.0259057265290223,650972.0,
A,2008-07-20,-0.0281943611277741,709434.0,
A,2008-07-27,-0.0619341563786006,700122.0,
A,2008-08-03,-0.0344373766176796,744182.0,
A,2008-08-10,-0.0688323489323033,443842.0,
A,2008-08-17,-0.0085386679677967,395108.0,
A,2008-08-24,0.0610236220472442,383812.0,
A,2008-08-31,-0.0113636363636364,458316.0,
A,2008-09-07,-0.035421064977715,407454.0,
A,2008-09-14,-0.011429961089494,410534.0,
A,2008-09-21,-0.0578105781057807,445314.0,
A,2008-09-28,0.0535248041775457,360002.0,
A,2008-10-12,-0.1727385377942993,329542.0,
A,2008-10-19,-0.027075170929381,568778.0,
A,2008-10-26,0.0078690588605601,622158.0,
A,2008-11-02,0.0381011867582758,576610.0,
A,2008-11-09,-0.0180505415162453,589214.0,
A,2008-11-16,-0.0085784313725489,605198.0,
A,2008-11-23,-0.0058714462299135,606070.0,
